acc,city,licence
42507,CHICAGO,Raffles
273724,CHICAGO,Tobacco
398536,CHICAGO,Tobacco
348744,CHICAGO,Tobacco
55256,CHICAGO,Tobacco
422503,NORTHBROOK,Pharmaceutical Representative
348692,CHICAGO,Tobacco
400533,CHICAGO,Retail Food Establishment
471606,MONEE,Pharmaceutical Representative
79279,CHICAGO,Raffles
336823,CHICAGO,Not-For-Profit Club
422695,CHICAGO,Pharmaceutical Representative
273566,CHICAGO,Tobacco
464178,ELMHURST,Pharmaceutical Representative
9067,CHICAGO,Tobacco
14212,CHICAGO,Not-For-Profit Club
332163,CHICAGO,Tobacco
250422,CHICAGO,Tobacco
269234,CHICAGO,Raffles
422978,LAKE FOREST,Pharmaceutical Representative
318096,CHICAGO,Tobacco
470777,CHICAGO,Tobacco
401325,CHICAGO,Children's Services Facility License
470041,CHICAGO,Tobacco
422203,CHICAGO,Pharmaceutical Representative
422954,PETALUMA,Regulated Business License
422954,TEMPE,Regulated Business License
422090,CHICAGO,Regulated Business License
6292,CHICAGO,Tobacco
323527,PLAINFIELD,Limited Business License
384306,CHICAGO,Retail Food Establishment
338480,CHICAGO,Tobacco
309495,CHICAGO,Limited Business License
367519,CHICAGO,Tobacco
1902,CHICAGO,Manufacturing Establishments
278827,CHICAGO,Tobacco
5390,ROSEMONT,Limited Business License
244084,CHICAGO,Limited Business License
34241,CHICAGO,Limited Business License
348760,DARIEN,Regulated Business License
464320,CHICAGO,Limited Business License
9153,CHICAGO,Tobacco
307297,CHICAGO,Limited Business License
348188,NILES,Limited Business License
367706,ELGIN,Limited Business License
315028,CICERO,Limited Business License
337141,CHICAGO,Limited Business License
422860,CHICAGO,Regulated Business License
26153,CHICAGO,Limited Business License
348205,VILLA PARK,Limited Business License
309495,HANOVER,Limited Business License
346858,CHICAGO,Retail Food Establishment
463939,CHICAGO,Regulated Business License
399929,CHICAGO,Filling Station
243841,CHICAGO,Retail Food Establishment
386886,CHICAGO,Caterer's Liquor License
64486,CHICAGO,Retail Food Establishment
30990,CHICAGO,Limited Business License
45491,CHICAGO,Limited Business License
15612,CHICAGO,Retail Food Establishment
426630,CHICAGO,Public Place of Amusement
367276,CHICAGO,Limited Business License
309495,CHICAGO,Limited Business License
417239,CHICAGO,Children's Services Facility License
11071,CHICAGO,Retail Food Establishment
417456,CHICAGO,Retail Food Establishment
421491,CHICAGO,Retail Food Establishment
462704,CHICAGO,Retail Food Establishment
459645,CHICAGO,Retail Food Establishment
339872,CHICAGO,Tobacco
463579,CHICAGO,Retail Food Establishment
421094,CHICAGO,Children's Services Facility License
376988,CHICAGO,Tavern
463869,CHICAGO,Regulated Business License
422395,CHICAGO,Regulated Business License
44625,CHICAGO,Limited Business License
266180,CHICAGO,Motor Vehicle Services License
432657,CHICAGO,Consumption on Premises - Incidental Activity
49055,CHICAGO,Limited Business License
462611,CHICAGO,Regulated Business License
298155,CHICAGO,Limited Business License
422769,CHICAGO,Limited Business License
367173,CHICAGO,Limited Business License
15640,CHICAGO,Outdoor Patio
379784,CHICAGO,Consumption on Premises - Incidental Activity
221804,CHICAGO,Limited Business License
35664,CHICAGO,Limited Business License
11071,CHICAGO,Retail Food Establishment
402358,CHICAGO,Limited Business License
367394,CHICAGO,Limited Business License
209414,CHICAGO,Motor Vehicle Services License
348443,CHICAGO,Regulated Business License
11071,CHICAGO,Retail Food Establishment
28834,CHICAGO,Motor Vehicle Services License
464276,OAK PARK,Pharmaceutical Representative
400048,CHICAGO,Retail Food Establishment
342474,CHICAGO,Limited Business License
470906,CHICAGO,Pop-Up Retail User
415579,CHICAGO,Package Goods
463672,CHICAGO,Regulated Business License
28469,CHICAGO,Tobacco
317271,CHICAGO,Retail Food Establishment
265031,BRIDGEVIEW,Peddler License
86496,CHICAGO,Package Goods
463996,CHICAGO,Regulated Business License
294473,CHICAGO,Regulated Business License
462863,CHICAGO,Retail Food Establishment
87337,CHICAGO,Limited Business License
422666,CHICAGO,Motor Vehicle Services License
318004,CHICAGO,Retail Food Establishment
222149,CHICAGO,Peddler License
463239,CHICAGO,Limited Business License
35190,CHICAGO,Limited Business License
362361,CHICAGO,Children's Services Facility License
311507,CHICAGO,Limited Business License
48119,CHICAGO,Limited Business License
380023,CHICAGO,Consumption on Premises - Incidental Activity
207942,CHICAGO,Retail Food Establishment
301840,CHICAGO,Retail Food Establishment
205920,CHICAGO,Limited Business License
62676,CHICAGO,Retail Food Establishment
463791,CHICAGO,Limited Business License
344481,CHICAGO,Consumption on Premises - Incidental Activity
323784,CHICAGO,Limited Business License
62954,CHICAGO,Raffles
40464,CHICAGO,Limited Business License
