"abalone_id","gender","length","diameter","height","whole_weight","shucked_weight","viscera_weight","shell_weight","rings","collector","collector_first","collector_last","collector_organization","water","water_region","feb_temp"
"3",F,"0.53","0.42","0.135","0.677","0.2565","0.1415","0.21","9","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"14",F,"0.535","0.405","0.145","0.6845","0.2725","0.171","0.205","10","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"18",F,"0.44","0.34","0.1","0.451","0.188","0.087","0.13","10","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"30",M,"0.575","0.425","0.14","0.8635","0.393","0.227","0.2","11","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"42",F,"0.55","0.425","0.135","0.8515","0.362","0.196","0.27","14","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"45",I,"0.21","0.15","0.05","0.042","0.0175","0.0125","0.015","4","1",Jan,Odom,University of Houston,"1",Florida Atlantic Coast,"22.1"
"49",I,"0.325","0.245","0.07","0.161","0.0755","0.0255","0.045","6","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"61",M,"0.45","0.345","0.105","0.4115","0.18","0.1125","0.135","7","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"72",F,"0.4","0.32","0.11","0.353","0.1405","0.0985","0.1","8","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"97",M,"0.535","0.435","0.15","0.725","0.269","0.1385","0.25","9","14",Santiago,Vaughan,Ohio State University	,"1",Florida Atlantic Coast,"22.1"
"118",M,"0.44","0.34","0.105","0.402","0.1305","0.0955","0.165","10","4",Nate,Craig,NOAA Fisheries,"1",Florida Atlantic Coast,"22.1"
"124",M,"0.37","0.265","0.075","0.214","0.09","0.051","0.07","6","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"143",M,"0.65","0.52","0.19","1.3445","0.519","0.306","0.4465","16","15",Conan,Dalton,University of Houston,"1",Florida Atlantic Coast,"22.1"
"146",F,"0.49","0.38","0.125","0.549","0.245","0.1075","0.174","10","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"152",F,"0.605","0.5","0.185","1.1185","0.469","0.2585","0.335","9","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"153",F,"0.635","0.515","0.19","1.3715","0.5065","0.305","0.45","10","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
"154",F,"0.605","0.485","0.16","1.0565","0.37","0.2355","0.355","10","9",Danica,Tyler,University of Florida	,"1",Florida Atlantic Coast,"22.1"
"164",F,"0.725","0.56","0.21","2.141","0.65","0.398","1.005","18","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"174",F,"0.52","0.405","0.115","0.776","0.32","0.1845","0.22","8","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"179",I,"0.225","0.16","0.045","0.0465","0.025","0.015","0.015","4","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"190",F,"0.585","0.46","0.17","0.9325","0.365","0.271","0.29","9","5",Haniya,Talley,Prince William Sound Science Center,"1",Florida Atlantic Coast,"22.1"
"205",M,"0.42","0.335","0.115","0.369","0.171","0.071","0.12","8","2",Tiegan,Davie,"University of California, Davis","1",Florida Atlantic Coast,"22.1"
"208",I,"0.435","0.34","0.11","0.3795","0.1495","0.085","0.12","8","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"211",F,"0.49","0.365","0.145","0.6345","0.1995","0.1625","0.22","10","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"224",F,"0.445","0.355","0.15","0.485","0.181","0.125","0.155","11","7",Iona,Connolly,Florida Atlantic University,"1",Florida Atlantic Coast,"22.1"
"227",F,"0.39","0.29","0.125","0.3055","0.121","0.082","0.09","7","6",Martin,Gaines,San Diego State University,"1",Florida Atlantic Coast,"22.1"
"237",I,"0.075","0.055","0.01","0.002","0.001","0.0005","0.0015","1","8",Kali,Metcalfe,Mote Marine Laboratory,"1",Florida Atlantic Coast,"22.1"
"241",M,"0.565","0.425","0.16","0.9425","0.3495","0.2185","0.275","17","13",Betty,Berg,University of Houston,"1",Florida Atlantic Coast,"22.1"
"245",I,"0.33","0.255","0.085","0.1655","0.063","0.039","0.06","8","12",Rebecca,Bennett,University of Houston,"1",Florida Atlantic Coast,"22.1"
"252",M,"0.59","0.47","0.18","1.1235","0.4205","0.2805","0.36","13","11",Naima,Reyes,University of Houston,"1",Florida Atlantic Coast,"22.1"
