"ARPU_BANDS","ARPU","3"
"1001-5000",1005,770
"1001-5000",1009,784
"1001-5000",1023,495
"1001-5000",1032,468
"1001-5000",1050,1160
"1001-5000",1057,456
"1001-5000",1060,714
"1001-5000",1081,414
"1001-5000",1086,399
"1001-5000",1094,477
"1001-5000",1099,816
"1001-5000",1102,415
"1001-5000",1108,399
"1001-5000",1118,406
"1001-5000",1138,351
"1001-5000",1145,449
"1001-5000",1151,347
"1001-5000",1158,363
"1001-5000",1164,382
"1001-5000",1165,403
"1001-5000",1179,369
"1001-5000",1184,330
"1001-5000",1220,439
"1001-5000",1226,293
"1001-5000",1245,330
"1001-5000",1246,275
"1001-5000",1248,302
"1001-5000",1259,330
"1001-5000",1260,388
"1001-5000",1303,292
"1001-5000",1305,295
"1001-5000",1311,240
"1001-5000",1312,232
"1001-5000",1323,257
"1001-5000",1327,232
"1001-5000",1333,254
"1001-5000",1339,270
"1001-5000",1357,210
"1001-5000",1375,236
"1001-5000",1385,213
"1001-5000",1391,190
"1001-5000",1413,174
"1001-5000",1447,185
"1001-5000",1450,275
"1001-5000",1454,189
"1001-5000",1466,154
"1001-5000",1467,165
"1001-5000",1477,160
"1001-5000",1506,153
"1001-5000",1550,229
"1001-5000",1557,136
"1001-5000",1601,134
"1001-5000",1604,167
"1001-5000",1615,156
"1001-5000",1617,129
"1001-5000",1632,129
"1001-5000",1641,114
"1001-5000",1647,114
"1001-5000",1660,133
"1001-5000",1663,119
"1001-5000",1665,155
"1001-5000",1682,102
"1001-5000",1692,105
"1001-5000",1722,106
"1001-5000",1733,91
"1001-5000",1743,102
"1001-5000",1749,114
"1001-5000",1754,94
"1001-5000",1757,109
"1001-5000",1779,94
"1001-5000",1787,100
"1001-5000",1802,94
"1001-5000",1803,97
"1001-5000",1811,73
"1001-5000",1817,83
"1001-5000",1820,99
"1001-5000",1821,91
"1001-5000",1825,109
"1001-5000",1835,95
"1001-5000",1851,81
"1001-5000",1873,85
"1001-5000",1908,77
"1001-5000",1921,79
"1001-5000",1922,55
"1001-5000",1938,58
"1001-5000",1947,64
"1001-5000",1963,49
"1001-5000",1964,59
"1001-5000",1989,77
"1001-5000",1990,78
"1001-5000",2024,87
"1001-5000",2069,73
"1001-5000",2073,58
"1001-5000",2077,60
"1001-5000",2085,63
"1001-5000",2113,59
"1001-5000",2116,44
"1001-5000",2129,60
"1001-5000",2164,49
"1001-5000",2177,52
"1001-5000",2178,56
"1001-5000",2186,58
"1001-5000",2202,52
"1001-5000",2205,47
"1001-5000",2220,67
"1001-5000",2245,50
"1001-5000",2310,36
"1001-5000",2323,39
"1001-5000",2325,43
"1001-5000",2332,38
"1001-5000",2333,40
"1001-5000",2357,25
"1001-5000",2360,45
"1001-5000",2369,30
"1001-5000",2381,43
"1001-5000",2385,41
"1001-5000",2422,27
"1001-5000",2427,33
"1001-5000",2431,30
"1001-5000",2432,29
"1001-5000",2434,35
"1001-5000",2441,16
"1001-5000",2453,34
"1001-5000",2458,25
"1001-5000",2459,35
"1001-5000",2460,38
"1001-5000",2461,40
"1001-5000",2497,33
"1001-5000",2502,27
"1001-5000",2507,22
"1001-5000",2517,23
"1001-5000",2525,27
"1001-5000",2563,19
"1001-5000",2564,23
"1001-5000",2594,32
"1001-5000",2601,22
"1001-5000",2638,21
"1001-5000",2649,25
"1001-5000",2659,23
"1001-5000",2666,19
"1001-5000",2692,18
"1001-5000",2701,21
"1001-5000",2719,13
"1001-5000",2721,16
"1001-5000",2726,19
"1001-5000",2740,25
"1001-5000",2766,14
"1001-5000",2770,16
"1001-5000",2777,11
"1001-5000",2796,14
"1001-5000",2798,22
"1001-5000",2808,15
"1001-5000",2809,16
"1001-5000",2813,19
"1001-5000",2830,15
"1001-5000",2882,13
"1001-5000",2895,15
"1001-5000",2896,12
"1001-5000",2906,10
"1001-5000",2916,16
"1001-5000",2923,10
"1001-5000",2933,10
"1001-5000",2942,8
"1001-5000",2947,7
"1001-5000",2966,7
"1001-5000",2991,8
"1001-5000",2994,9
"1001-5000",3007,19
"1001-5000",3030,13
"1001-5000",3045,14
"1001-5000",3046,13
"1001-5000",3048,11
"1001-5000",3075,19
"1001-5000",3107,7
"1001-5000",3127,9
"1001-5000",3132,6
"1001-5000",3161,13
"1001-5000",3174,11
"1001-5000",3206,6
"1001-5000",3208,10
"1001-5000",3212,9
"1001-5000",3213,4
"1001-5000",3214,10
"1001-5000",3215,8
"1001-5000",3230,7
"1001-5000",3249,6
"1001-5000",3267,4
"1001-5000",3273,5
"1001-5000",3282,10
"1001-5000",3303,5
"1001-5000",3306,6
"1001-5000",3307,7
"1001-5000",3310,10
"1001-5000",3313,8
"1001-5000",3318,7
"1001-5000",3325,8
"1001-5000",3327,7
"1001-5000",3362,8
"1001-5000",3368,8
"1001-5000",3369,10
"1001-5000",3386,6
"1001-5000",3392,3
"1001-5000",3395,5
"1001-5000",3406,5
