"ARPU_BANDS","2","3"
"1001-5000",1017070,1007
"1001-5000",671930,662
"1001-5000",1139340,1117
"1001-5000",537046,526
"1001-5000",478296,468
"1001-5000",707610,687
"1001-5000",610650,590
"1001-5000",481866,462
"1001-5000",495231,473
"1001-5000",853886,814
"1001-5000",477608,454
"1001-5000",487539,463
"1001-5000",485760,460
"1001-5000",422278,398
"1001-5000",455175,425
"1001-5000",444801,413
"1001-5000",462441,427
"1001-5000",432376,392
"1001-5000",523296,474
"1001-5000",417758,374
"1001-5000",530406,474
"1001-5000",604800,540
"1001-5000",357120,310
"1001-5000",374187,319
"1001-5000",382311,321
"1001-5000",433422,363
"1001-5000",339543,279
"1001-5000",416631,339
"1001-5000",327888,264
"1001-5000",367430,290
"1001-5000",386325,303
"1001-5000",351624,273
"1001-5000",311066,238
"1001-5000",296144,223
"1001-5000",290997,217
"1001-5000",361805,269
"1001-5000",297440,220
"1001-5000",341250,250
"1001-5000",322392,228
"1001-5000",281064,196
"1001-5000",226888,158
"1001-5000",259560,180
"1001-5000",253968,176
"1001-5000",299095,205
"1001-5000",233208,158
"1001-5000",235104,158
"1001-5000",249832,167
"1001-5000",295894,197
"1001-5000",229064,152
"1001-5000",290129,191
"1001-5000",293360,193
"1001-5000",247840,160
"1001-5000",192126,123
"1001-5000",226774,142
"1001-5000",211434,131
"1001-5000",244500,150
"1001-5000",204724,124
"1001-5000",209034,126
"1001-5000",240480,144
"1001-5000",246355,145
"1001-5000",211670,122
"1001-5000",231420,133
"1001-5000",207536,119
"1001-5000",173448,99
"1001-5000",180540,102
"1001-5000",179073,101
"1001-5000",220100,124
"1001-5000",179376,101
"1001-5000",257257,143
"1001-5000",153680,85
"1001-5000",124032,68
"1001-5000",160864,88
"1001-5000",152028,82
"1001-5000",148960,80
"1001-5000",154629,83
"1001-5000",152848,82
"1001-5000",151956,81
"1001-5000",174840,93
"1001-5000",154816,82
"1001-5000",127769,67
"1001-5000",110922,57
"1001-5000",132872,68
"1001-5000",115404,59
"1001-5000",153504,78
"1001-5000",126144,64
"1001-5000",130284,66
"1001-5000",126400,64
"1001-5000",128635,65
"1001-5000",199980,101
"1001-5000",143352,72
"1001-5000",133732,67
"1001-5000",490245,245
"1001-5000",224896,112
"1001-5000",187302,93
"1001-5000",161280,80
"1001-5000",292755,145
"1001-5000",379760,188
"1001-5000",153748,76
