"ARPU_BANDS","2","3"
"1001-5000",511545,509
"1001-5000",585220,580
"1001-5000",340659,333
"1001-5000",323016,313
"1001-5000",814800,776
"1001-5000",266364,252
"1001-5000",439900,415
"1001-5000",245387,227
"1001-5000",240006,221
"1001-5000",316166,289
"1001-5000",683578,622
"1001-5000",274398,249
"1001-5000",252624,228
"1001-5000",251550,225
"1001-5000",241256,212
"1001-5000",298845,261
"1001-5000",264730,230
"1001-5000",211914,183
"1001-5000",273540,235
"1001-5000",286590,246
"1001-5000",246411,209
"1001-5000",246272,208
"1001-5000",329400,270
"1001-5000",205968,168
"1001-5000",252735,203
"1001-5000",200606,161
"1001-5000",199680,160
"1001-5000",232915,185
"1001-5000",265860,211
"1001-5000",204571,157
"1001-5000",206190,158
"1001-5000",169119,129
"1001-5000",148256,113
"1001-5000",149499,113
"1001-5000",157913,119
"1001-5000",143964,108
"1001-5000",188799,141
"1001-5000",145199,107
"1001-5000",177375,129
"1001-5000",167585,121
"1001-5000",146055,105
"1001-5000",156843,111
"1001-5000",153382,106
"1001-5000",201550,139
"1001-5000",173026,119
"1001-5000",134872,92
"1001-5000",146700,100
"1001-5000",152131,103
"1001-5000",114456,76
"1001-5000",220100,142
"1001-5000",129231,83
"1001-5000",97661,61
"1001-5000",139548,87
"1001-5000",138890,86
"1001-5000",100254,62
"1001-5000",115872,71
"1001-5000",95178,58
"1001-5000",98820,60
"1001-5000",121180,73
"1001-5000",111421,67
"1001-5000",138195,83
"1001-5000",94192,56
"1001-5000",86292,51
"1001-5000",92988,54
"1001-5000",71053,41
"1001-5000",118524,68
"1001-5000",118932,68
"1001-5000",108748,62
"1001-5000",87850,50
"1001-5000",96066,54
"1001-5000",96498,54
"1001-5000",86496,48
"1001-5000",99165,55
"1001-5000",88739,49
"1001-5000",101752,56
"1001-5000",89180,49
"1001-5000",87408,48
"1001-5000",109500,60
"1001-5000",78905,43
"1001-5000",90699,49
"1001-5000",89904,48
"1001-5000",64872,34
"1001-5000",67235,35
"1001-5000",71114,37
"1001-5000",77520,40
"1001-5000",83721,43
"1001-5000",68705,35
"1001-5000",72668,37
"1001-5000",81549,41
"1001-5000",85570,43
"1001-5000",131560,65
"1001-5000",78622,38
"1001-5000",87066,42
"1001-5000",78926,38
"1001-5000",87570,42
"1001-5000",54938,26
"1001-5000",71944,34
"1001-5000",91547,43
"1001-5000",82232,38
"1001-5000",71841,33
"1001-5000",89298,41
"1001-5000",43720,20
"1001-5000",59454,27
"1001-5000",59535,27
"1001-5000",104340,47
"1001-5000",69595,31
"1001-5000",50820,22
"1001-5000",65044,28
"1001-5000",60450,26
"1001-5000",53636,23
"1001-5000",48993,21
"1001-5000",70710,30
"1001-5000",37760,16
"1001-5000",56856,24
"1001-5000",45239,19
"1001-5000",38160,16
"1001-5000",41174,17
"1001-5000",48540,20
"1001-5000",36465,15
"1001-5000",41344,17
"1001-5000",31642,13
"1001-5000",46379,19
"1001-5000",41701,17
"1001-5000",46702,19
"1001-5000",54098,22
"1001-5000",56580,23
"1001-5000",49220,20
"1001-5000",34958,14
"1001-5000",40032,16
"1001-5000",35098,14
"1001-5000",35238,14
"1001-5000",37875,15
"1001-5000",46134,18
"1001-5000",41024,16
"1001-5000",57068,22
"1001-5000",49419,19
"1001-5000",21104,8
"1001-5000",45033,17
"1001-5000",26590,10
"1001-5000",42656,16
"1001-5000",34996,13
"1001-5000",40515,15
"1001-5000",16314,6
"1001-5000",24489,9
"1001-5000",19082,7
"1001-5000",30140,11
"1001-5000",38724,14
"1001-5000",30470,11
"1001-5000",36101,13
"1001-5000",33552,12
"1001-5000",13990,5
"1001-5000",14040,5
"1001-5000",19663,7
"1001-5000",14065,5
"1001-5000",31130,11
"1001-5000",20174,7
"1001-5000",34740,12
"1001-5000",14480,5
"1001-5000",26154,9
"1001-5000",20412,7
"1001-5000",17538,6
"1001-5000",20531,7
"1001-5000",20594,7
"1001-5000",11788,4
"1001-5000",11864,4
"1001-5000",32901,11
"1001-5000",26946,9
"1001-5000",45105,15
"1001-5000",39390,13
"1001-5000",51765,17
"1001-5000",18276,6
"1001-5000",48768,16
"1001-5000",36900,12
"1001-5000",12428,4
"1001-5000",21889,7
"1001-5000",21924,7
"1001-5000",12644,4
"1001-5000",19044,6
"1001-5000",6412,2
"1001-5000",9624,3
"1001-5000",22484,7
"1001-5000",19278,6
"1001-5000",16070,5
"1001-5000",12860,4
"1001-5000",3230,1
"1001-5000",32490,10
"1001-5000",9801,3
"1001-5000",16365,5
"1001-5000",9846,3
"1001-5000",9909,3
"1001-5000",13224,4
"1001-5000",9921,3
"1001-5000",23170,7
"1001-5000",6626,2
"1001-5000",26544,8
"1001-5000",13300,4
"1001-5000",13308,4
"1001-5000",10086,3
"1001-5000",10104,3
"1001-5000",3369,1
"1001-5000",20316,6
"1001-5000",10176,3
"1001-5000",27160,8
"1001-5000",17030,5
"1001-5000",10245,3
"1001-5000",10257,3
"1001-5000",13708,4
"1001-5000",6862,2
"1001-5000",6940,2
"1001-5000",6946,2
"1001-5000",10461,3
"1001-5000",7058,2
"1001-5000",14120,4
"1001-5000",7068,2
"1001-5000",3538,1
"1001-5000",7090,2
"1001-5000",17795,5
"1001-5000",14248,4
"1001-5000",14252,4
"1001-5000",14296,4
"1001-5000",25032,7
"1001-5000",3577,1
"1001-5000",10761,3
"1001-5000",10764,3
"1001-5000",10857,3
"1001-5000",14568,4
"1001-5000",3644,1
"1001-5000",3648,1
"1001-5000",21942,6
"1001-5000",3662,1
"1001-5000",3671,1
"1001-5000",7350,2
