"ARPU_BANDS","ARPU","3"
"1001-5000",1005,1540
"1001-5000",1009,1570
"1001-5000",1023,992
"1001-5000",1032,936
"1001-5000",1050,2320
"1001-5000",1057,912
"1001-5000",1060,1428
"1001-5000",1081,828
"1001-5000",1086,800
"1001-5000",1094,956
"1001-5000",1099,1636
"1001-5000",1102,832
"1001-5000",1108,798
"1001-5000",1118,812
"1001-5000",1138,702
"1001-5000",1145,898
"1001-5000",1151,694
"1001-5000",1158,726
"1001-5000",1164,764
"1001-5000",1165,806
"1001-5000",1179,738
"1001-5000",1184,660
"1001-5000",1220,878
"1001-5000",1226,586
"1001-5000",1245,660
"1001-5000",1246,550
"1001-5000",1248,604
"1001-5000",1259,660
"1001-5000",1260,776
"1001-5000",1303,584
"1001-5000",1305,594
"1001-5000",1311,480
"1001-5000",1312,464
"1001-5000",1323,514
"1001-5000",1327,464
"1001-5000",1333,508
"1001-5000",1339,540
"1001-5000",1357,422
"1001-5000",1375,472
"1001-5000",1385,426
"1001-5000",1391,380
"1001-5000",1413,348
"1001-5000",1447,370
"1001-5000",1450,550
"1001-5000",1454,378
"1001-5000",1466,308
"1001-5000",1467,330
"1001-5000",1477,320
"1001-5000",1506,306
"1001-5000",1550,460
"1001-5000",1557,272
"1001-5000",1601,268
"1001-5000",1604,334
"1001-5000",1615,312
"1001-5000",1617,258
"1001-5000",1632,258
"1001-5000",1641,228
"1001-5000",1647,228
"1001-5000",1660,266
"1001-5000",1663,238
"1001-5000",1665,310
"1001-5000",1682,204
"1001-5000",1692,210
"1001-5000",1722,212
"1001-5000",1733,182
"1001-5000",1743,204
"1001-5000",1749,228
"1001-5000",1754,188
"1001-5000",1757,218
"1001-5000",1779,188
"1001-5000",1787,200
"1001-5000",1802,188
"1001-5000",1803,194
"1001-5000",1811,146
"1001-5000",1817,166
"1001-5000",1820,198
"1001-5000",1821,182
"1001-5000",1825,218
"1001-5000",1835,190
"1001-5000",1851,162
"1001-5000",1873,170
"1001-5000",1908,154
"1001-5000",1921,158
"1001-5000",1922,110
"1001-5000",1938,116
"1001-5000",1947,128
"1001-5000",1963,98
"1001-5000",1964,118
"1001-5000",1989,154
"1001-5000",1990,156
"1001-5000",2024,174
"1001-5000",2069,146
"1001-5000",2073,118
"1001-5000",2077,120
"1001-5000",2085,126
"1001-5000",2113,118
"1001-5000",2116,88
"1001-5000",2129,120
"1001-5000",2164,98
"1001-5000",2177,104
"1001-5000",2178,112
"1001-5000",2186,116
"1001-5000",2202,104
"1001-5000",2205,94
"1001-5000",2220,134
"1001-5000",2245,100
"1001-5000",2310,72
"1001-5000",2323,78
"1001-5000",2325,86
"1001-5000",2332,76
"1001-5000",2333,80
"1001-5000",2357,50
"1001-5000",2360,90
"1001-5000",2369,62
"1001-5000",2381,86
"1001-5000",2385,82
"1001-5000",2422,54
"1001-5000",2427,66
"1001-5000",2431,60
"1001-5000",2432,58
"1001-5000",2434,70
"1001-5000",2441,32
"1001-5000",2453,68
"1001-5000",2458,50
"1001-5000",2459,70
"0-10",9,122826
"1001-5000",1011,1010
"1001-5000",1019,1404
"1001-5000",1033,880
"1001-5000",1036,918
"1001-5000",1069,1032
"1001-5000",1082,828
"1001-5000",1110,1068
"1001-5000",1115,864
"1001-5000",1133,822
"1001-5000",1134,768
"1001-5000",1155,758
"1001-5000",1161,654
"1001-5000",1162,650
"1001-5000",1172,630
"1001-5000",1174,714
"1001-5000",1177,678
"1001-5000",1195,698
"1001-5000",1196,650
"1001-5000",1218,566
"1001-5000",1241,592
"1001-5000",1247,544
"1001-5000",1257,566
"1001-5000",1266,526
"1001-5000",1277,450
"1001-5000",1282,524
"1001-5000",1283,522
"1001-5000",1284,592
"1001-5000",1295,590
"1001-5000",1321,460
"1001-5000",1347,450
"1001-5000",1372,460
"1001-5000",1379,466
"1001-5000",1394,472
"1001-5000",1402,390
"1001-5000",1405,526
"1001-5000",1406,406
"1001-5000",1421,336
"1001-5000",1423,386
"1001-5000",1425,494
"1001-5000",1431,350
"1001-5000",1441,346
"1001-5000",1446,308
"1001-5000",1530,356
"1001-5000",1534,290
"1001-5000",1570,330
"1001-5000",1623,252
"1001-5000",1638,266
"1001-5000",1648,284
"1001-5000",1650,330
"1001-5000",1655,258
"1001-5000",1676,188
"1001-5000",1694,302
"1001-5000",1695,218
"1001-5000",1701,242
"1001-5000",1702,184
"1001-5000",1713,178
"1001-5000",1721,172
"1001-5000",1748,184
"1001-5000",1755,226
"1001-5000",1777,202
"1001-5000",1781,212
"1001-5000",1786,192
"1001-5000",1795,204
"1001-5000",1827,168
"1001-5000",1847,158
"1001-5000",1881,222
"1001-5000",1900,278
"1001-5000",1911,144
"1001-5000",1924,168
"1001-5000",1933,146
"1001-5000",1934,146
"1001-5000",1935,126
"1001-5000",1950,180
"1001-5000",1953,126
"1001-5000",1958,116
"1001-5000",1969,148
"1001-5000",1976,138
"1001-5000",1977,116
"1001-5000",1998,134
"1001-5000",2002,294
"1001-5000",2028,164
"1001-5000",2030,208
"1001-5000",2033,132
"1001-5000",2037,154
"1001-5000",2044,242
"1001-5000",2045,218
"1001-5000",2050,420
"1001-5000",2051,160
"1001-5000",2082,122
"1001-5000",2094,174
"1001-5000",2103,130
"1001-5000",2112,122
"1001-5000",2135,138
"1001-5000",2145,126
"1001-5000",2151,92
"1001-5000",2161,98
"1001-5000",2170,102
"1001-5000",2188,98
"1001-5000",2191,90
"1001-5000",2199,166
"1001-5000",2206,114
"1001-5000",2209,130
"1001-5000",2213,90
"1001-5000",2214,114
"1001-5000",2232,78
"1001-5000",2243,76
"1001-5000",2254,106
"1001-5000",2283,84
"1001-5000",2286,66
"1001-5000",2308,98
"1001-5000",2339,82
"1001-5000",2371,48
"1001-5000",2382,82
"1001-5000",2391,70
"1001-5000",2393,66
"1001-5000",2401,56
"1001-5000",2417,60
"1001-5000",2418,72
"1001-5000",2423,60
"1001-5000",2446,52
"1001-5000",2449,66
"1001-5000",2470,84
"1001-5000",2481,68
"1001-5000",2506,48
"1001-5000",2460,76
"1001-5000",2461,80
"1001-5000",2497,66
"1001-5000",2502,54
"1001-5000",2507,44
"1001-5000",2517,46
"1001-5000",2525,54
"1001-5000",2563,38
"1001-5000",2564,46
"1001-5000",2594,66
"1001-5000",2601,44
"1001-5000",2638,42
"1001-5000",2649,50
"1001-5000",2659,46
"1001-5000",2666,38
"1001-5000",2692,36
"1001-5000",2701,42
"1001-5000",2719,26
"1001-5000",2721,32
"1001-5000",2726,38
"1001-5000",2740,50
"1001-5000",2766,28
"1001-5000",2770,32
"1001-5000",2777,22
"1001-5000",2796,28
"1001-5000",2798,44
"1001-5000",2808,30
"1001-5000",2809,32
"1001-5000",2813,38
"1001-5000",2830,30
"1001-5000",2882,26
"1001-5000",2895,30
"1001-5000",2896,24
"1001-5000",2906,20
"1001-5000",2916,32
"1001-5000",2923,20
"1001-5000",2933,22
"1001-5000",2942,16
"1001-5000",2947,14
"1001-5000",2966,14
"1001-5000",2991,16
"1001-5000",2994,18
"1001-5000",3007,38
"1001-5000",3030,26
"1001-5000",3045,28
"1001-5000",3046,26
"1001-5000",3048,22
"1001-5000",3075,38
"1001-5000",3107,14
"1001-5000",3127,18
"1001-5000",3132,12
"1001-5000",3161,26
"1001-5000",3174,22
"1001-5000",3206,12
"1001-5000",3208,20
"1001-5000",3212,18
"1001-5000",3213,8
"1001-5000",3214,20
"1001-5000",3215,16
"1001-5000",3230,14
"1001-5000",3249,14
"1001-5000",3267,8
"1001-5000",3273,10
"1001-5000",3282,20
"1001-5000",3303,10
"1001-5000",3306,12
"1001-5000",3307,14
"1001-5000",3310,20
"1001-5000",3313,16
"1001-5000",3318,14
"1001-5000",3325,16
"1001-5000",3327,14
"1001-5000",3362,16
"1001-5000",3368,16
"1001-5000",3369,20
"1001-5000",3386,12
"1001-5000",3392,6
"1001-5000",3395,10
"1001-5000",3406,10
"1001-5000",3415,20
"1001-5000",3419,12
"1001-5000",3427,22
"1001-5000",3431,12
"1001-5000",3470,10
"1001-5000",3473,4
"1001-5000",3487,14
"1001-5000",3529,8
"1001-5000",3530,6
"1001-5000",3534,18
"1001-5000",3538,14
"1001-5000",3545,14
"1001-5000",3559,8
"1001-5000",3562,20
"1001-5000",3563,8
"1001-5000",3574,4
"1001-5000",3576,12
"1001-5000",3577,12
"1001-5000",3587,18
"1001-5000",3588,8
"1001-5000",3619,2
"1001-5000",3632,8
"1001-5000",3642,12
"1001-5000",3644,14
"1001-5000",3648,12
"1001-5000",3657,6
"1001-5000",3662,6
"1001-5000",3671,6
"1001-5000",3675,4
"1001-5000",3683,8
"1001-5000",3687,10
"1001-5000",3704,6
"1001-5000",3718,10
"1001-5000",3724,4
"1001-5000",3726,16
"1001-5000",3737,6
"1001-5000",3742,6
"1001-5000",3745,10
"1001-5000",3780,12
"1001-5000",3783,2
"1001-5000",3786,8
"1001-5000",3794,8
"1001-5000",3799,12
"1001-5000",3801,4
"1001-5000",3822,4
"1001-5000",3830,8
"1001-5000",3832,6
"1001-5000",1004,1470
"1001-5000",1007,1200
"1001-5000",1008,1236
"1001-5000",1024,1126
"1001-5000",1040,1576
"1001-5000",1079,990
"1001-5000",1111,728
"1001-5000",1116,708
"1001-5000",1122,798
"1001-5000",1123,836
"1001-5000",1132,658
"1001-5000",1136,744
"1001-5000",1146,734
"1001-5000",1149,1020
"1001-5000",1166,642
"1001-5000",1167,674
"1001-5000",1185,824
"1001-5000",1189,742
"1001-5000",1228,586
"1001-5000",1261,564
"1001-5000",1262,504
"1001-5000",1265,522
"1001-5000",1268,536
"1001-5000",1274,626
"1001-5000",1279,568
"1001-5000",1297,526
"1001-5000",1304,536
"1001-5000",1334,500
"1001-5000",1346,410
"1001-5000",1361,422
"1001-5000",1366,418
"1001-5000",1371,370
"1001-5000",1380,512
"1001-5000",1389,432
"1001-5000",1415,458
"1001-5000",1448,414
"1001-5000",1458,400
"1001-5000",1471,362
"1001-5000",1483,342
"1001-5000",1485,454
"1001-5000",1494,372
"1001-5000",1497,340
"1001-5000",1503,306
"1001-5000",1527,292
"1001-5000",1529,350
"1001-5000",1545,400
"1001-5000",1548,294
"1001-5000",1560,310
"1001-5000",1585,318
"1001-5000",1586,288
"1001-5000",1587,284
"1001-5000",1594,316
"1001-5000",1622,264
"1001-5000",1626,192
"1001-5000",1627,254
"1001-5000",1636,298
"1001-5000",1646,212
"1001-5000",1656,238
"1001-5000",1667,214
"1001-5000",1671,236
"1001-5000",1673,198
"1001-5000",1684,300
"1001-5000",1689,236
"1001-5000",1711,238
"1001-5000",1766,200
"1001-5000",1782,190
"1001-5000",1784,202
"1001-5000",1785,208
"1001-5000",1792,174
"1001-5000",1816,190
"1001-5000",1834,186
"1001-5000",1836,146
"1001-5000",1837,156
"1001-5000",1842,166
"1001-5000",1846,186
"1001-5000",1852,166
"1001-5000",1882,154
"1001-5000",1892,136
"1001-5000",1902,140
"1001-5000",1909,144
"1001-5000",1929,134
"1001-5000",1930,168
"1001-5000",1936,124
"1001-5000",1940,182
"1001-5000",1942,162
"1001-5000",1970,140
"1001-5000",1986,114
"1001-5000",1997,130
"1001-5000",2009,284
"1001-5000",2017,186
"1001-5000",2021,166
"1001-5000",2038,134
"1001-5000",2041,140
"1001-5000",2092,156
"1001-5000",2097,126
"1001-5000",2127,124
"1001-5000",2148,134
"1001-5000",2155,140
"1001-5000",2173,80
"1001-5000",2185,94
"1001-5000",2192,78
"1001-5000",2198,120
"1001-5000",2216,92
"1001-5000",2218,108
"1001-5000",2223,96
"1001-5000",2248,98
"1001-5000",2263,80
"1001-5000",2268,68
"1001-5000",2278,112
"1001-5000",2281,90
"1001-5000",2295,84
"1001-5000",2297,98
"1001-5000",2298,92
"1001-5000",2316,82
"1001-5000",2326,74
"1001-5000",2342,60
"1001-5000",2354,68
"1001-5000",2358,88
"1001-5000",2364,84
"1001-5000",2394,80
"1001-5000",2411,76
"1001-5000",2413,58
"1001-5000",2429,70
"1001-5000",2439,74
"1001-5000",2448,82
"0-10",5,68148
"0-10",7,56080
"0-10",8,130054
"1001-5000",1018,1122
"1001-5000",1031,904
"1001-5000",1054,1018
"1001-5000",1072,836
"1001-5000",1085,998
"1001-5000",1089,1056
"1001-5000",1093,836
"1001-5000",1095,1028
"1001-5000",1096,864
"1001-5000",1097,852
"1001-5000",1098,878
"1001-5000",1107,788
"1001-5000",1109,964
"1001-5000",1128,788
"1001-5000",1137,736
"1001-5000",1181,642
"1001-5000",1186,592
"1001-5000",1206,542
"1001-5000",1207,574
"1001-5000",1214,688
"1001-5000",1233,612
"1001-5000",1258,524
"1001-5000",1263,580
"1001-5000",1264,634
"1001-5000",1286,474
"1001-5000",1290,638
"1001-5000",1291,518
"1001-5000",1309,608
"1001-5000",1373,442
"1001-5000",1376,414
"1001-5000",1396,494
"1001-5000",1404,404
"1001-5000",1408,388
"1001-5000",1409,454
"1001-5000",1410,478
"1001-5000",1426,332
"1001-5000",1453,378
"1001-5000",1487,330
"1001-5000",1523,300
"1001-5000",1542,356
"1001-5000",1555,302
"1001-5000",1569,316
"1001-5000",1575,282
"1001-5000",1579,326
"1001-5000",1583,260
"1001-5000",1595,328
"1001-5000",1599,388
"1001-5000",1612,230
"1001-5000",1613,224
"1001-5000",1618,248
"1001-5000",1629,256
"1001-5000",1652,196
"1001-5000",1664,254
"1001-5000",1669,226
"1001-5000",1685,236
"1001-5000",1693,248
"1001-5000",1703,224
"1001-5000",1705,266
"1001-5000",1708,206
"1001-5000",1709,228
"1001-5000",1710,228
"1001-5000",1723,178
"1001-5000",1729,222
"1001-5000",1734,220
"1001-5000",1768,198
"1001-5000",1806,184
"1001-5000",1809,226
"1001-5000",1813,172
"1001-5000",1815,242
"1001-5000",1829,208
"1001-5000",1869,168
"1001-5000",1910,146
"1001-5000",1920,180
"1001-5000",1941,144
"1001-5000",1948,132
"1001-5000",1949,178
"1001-5000",1965,160
"1001-5000",1978,102
"1001-5000",2005,288
"1001-5000",2013,174
"1001-5000",2018,200
"1001-5000",2054,142
"1001-5000",2062,128
"1001-5000",2065,122
"1001-5000",2067,128
"1001-5000",2071,118
"1001-5000",2081,120
"1001-5000",2087,138
"1001-5000",2124,110
"1001-5000",2125,130
"1001-5000",2141,112
"1001-5000",2153,94
"1001-5000",2181,116
"1001-5000",2197,66
"1001-5000",2203,90
"1001-5000",2219,120
"1001-5000",2241,104
"1001-5000",2246,86
"1001-5000",2261,98
"1001-5000",2315,114
"1001-5000",2321,96
"1001-5000",2334,80
"1001-5000",2337,70
"1001-5000",2347,48
"1001-5000",2372,46
"1001-5000",2380,68
"1001-5000",2386,78
"1001-5000",2397,74
"1001-5000",2409,68
"1001-5000",2414,66
"1001-5000",2420,84
"1001-5000",2433,70
"1001-5000",2437,52
"1001-5000",2450,66
"1001-5000",2471,50
"1001-5000",2511,72
"1001-5000",2530,74
"1001-5000",2536,46
"1001-5000",2537,38
"1001-5000",2561,56
"1001-5000",2573,48
"1001-5000",2608,38
"1001-5000",2615,72
"1001-5000",2516,70
"1001-5000",2521,44
"1001-5000",2545,52
"1001-5000",2556,66
"1001-5000",2557,42
"1001-5000",2581,36
"1001-5000",2585,32
"1001-5000",2593,48
"1001-5000",2597,40
"1001-5000",2603,50
"1001-5000",2605,52
"1001-5000",2613,38
"1001-5000",2619,36
"1001-5000",2665,44
"1001-5000",2670,46
"1001-5000",2676,44
"1001-5000",2678,40
"1001-5000",2689,42
"1001-5000",2690,36
"1001-5000",2693,38
"1001-5000",2698,40
"1001-5000",2706,38
"1001-5000",2709,40
"1001-5000",2715,34
"1001-5000",2716,32
"1001-5000",2727,42
"1001-5000",2732,24
"1001-5000",2760,28
"1001-5000",2767,16
"1001-5000",2773,30
"1001-5000",2776,24
"1001-5000",2824,46
"1001-5000",2847,16
"1001-5000",2890,26
"1001-5000",2912,20
"1001-5000",2928,48
"1001-5000",2955,22
"1001-5000",2980,30
"1001-5000",3006,24
"1001-5000",3024,20
"1001-5000",3027,18
"1001-5000",3040,26
"1001-5000",3053,20
"1001-5000",3055,16
"1001-5000",3056,18
"1001-5000",3078,22
"1001-5000",3091,18
"1001-5000",3097,16
"1001-5000",3102,22
"1001-5000",3105,26
"1001-5000",3154,14
"1001-5000",3182,4
"1001-5000",3190,16
"1001-5000",3193,22
"1001-5000",3199,42
"1001-5000",3201,20
"1001-5000",3209,32
"1001-5000",3240,14
"1001-5000",3243,14
"1001-5000",3254,20
"1001-5000",3269,26
"1001-5000",3285,14
"1001-5000",3298,14
"1001-5000",3358,20
"1001-5000",3365,10
"1001-5000",3372,8
"1001-5000",3384,12
"1001-5000",3393,6
"1001-5000",3409,10
"1001-5000",3422,14
"1001-5000",3435,16
"1001-5000",3438,4
"1001-5000",3446,12
"1001-5000",3451,8
"1001-5000",3458,14
"1001-5000",3485,8
"1001-5000",3496,10
"1001-5000",3500,64
"1001-5000",3509,8
"1001-5000",3511,12
"1001-5000",3535,12
"1001-5000",3544,14
"1001-5000",3593,6
"1001-5000",3596,4
"1001-5000",3603,16
"1001-5000",3610,2
