mov_id,date,user_id_maped,program_name,duration_seconds,program_class,season,episode,program_desc,program_genre,series_title,hd,original_name
930944,02/01/2018,1,Kidnap ,87,MOVIE,0,0,Action MovieKidnap (HD),Action,0,1,Kidnap
931519,10/10/2017,1,Pingu    ,20,SERIES/EPISODES,6,1,"Animation MoviePingu, Season 6, Episode 2",Animation,0,0,Pingu  
932094,10/10/2017,1,Going in tyle ,87,MOVIE,0,0,Comedy MovieGoing in Style (HD),Comedy,0,1,Going in tyle
933244,02/02/2018,1,Men In Black,5543,MOVIE,0,0,Action MovieMen In Black,Action,0,0,Men In Black
933819,10/07/2017,1,Baywatch ,59,MOVIE,0,0,Comedy MovieBaywatch (HD),Comedy,0,1,Baywatch
936694,10/06/2017,1,The Boss Baby ,2,MOVIE,0,0,Animation MovieThe Boss Baby (HD),Animation,0,1,The Boss Baby
938419,02/01/2018,1,Men In Black,47,MOVIE,0,0,Action MovieMen In Black,Action,0,0,Men In Black
141821,04/02/2018,5,Teletubbies    ,2741,SERIES/EPISODES,1,2,"Animation MovieTeletubbies, Season 1, Episode 3",Animation,0,0,Teletubbies  
180413,03/06/2018,5,Teletubbies    ,767,SERIES/EPISODES,1,6,"Animation MovieTeletubbies, Season 1, Episode 7",Animation,0,0,Teletubbies  
180989,2/26/2018,5,In the Night Garden    ,1800,SERIES/EPISODES,4,20,"Animation MovieIn the Night Garden, Season 4, Episode 21",Animation,0,0,In the Night Garden  
181565,8/15/2017,5,Pingu    ,343,SERIES/EPISODES,2,1,"Animation MoviePingu, Season 2, Episode 2",Animation,0,0,Pingu  
182141,4/23/2018,5,Teletubbies    ,1681,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
182717,4/25/2018,5,Teletubbies    ,7,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
183293,8/15/2017,5,In the Night Garden    ,11,SERIES/EPISODES,1,1,"Animation MovieIn the Night Garden, Season 1, Episode 2",Animation,0,0,In the Night Garden  
183869,03/01/2018,5,Teletubbies    ,636,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
184445,6/23/2017,5,Teletubbies    ,39,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
185021,12/14/2017,5,Oscar's Oasis    ,6,SERIES/EPISODES,1,38,"Animation MovieOscar's Oasis, Season 1, Episode 39",Animation,0,0,Oscar's Oasis  
185597,4/27/2018,5,Teletubbies    ,1409,SERIES/EPISODES,1,30,"Animation MovieTeletubbies, Season 1, Episode 31",Animation,0,0,Teletubbies  
