id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
1	"Food safety, food security and genetically modified organisms in Africa: a current perspective."	<table><tr><td>Journal:</td><td>EUROPEAN JOURNAL OF OPERATIONAL RESEARCH</td></tr><tr><td>ISSN:</td><td>0377-2217</td></tr><tr></tr></table>	0.8602	-0.6316	3	78	493	892	1.096
2	Modern biotechnology breakthroughs to food and agricultural research in developing countries	<table><tr><td>Journal:</td><td>AMERICAN ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0002-8282</td></tr><tr></tr></table>	-0.6906	-0.1531	1	115	602	643	2.239
3	Application of cell culture technology and genetic engineering for production of future foods and crop improvement to strengthen food security.	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCE</td></tr><tr><td>ISSN:</td><td>0022-1082</td></tr><tr></tr></table>	-0.7616	0.3077	5	92	563	518	3.353
4	Microbial redemption of “evil” days: a global appraisal to food security	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT JOURNAL</td></tr><tr><td>ISSN:</td><td>0001-4273</td></tr><tr></tr></table>	0.6773	0.5419	2	96	552	450	5.017
5	"Assuring food security in Singapore, a small island state facing COVID-19"	<table><tr><td>Journal:</td><td>MANAGEMENT SCIENCE</td></tr><tr><td>ISSN:</td><td>0025-1909</td></tr><tr></tr></table>	0.5552	-0.3202	3	115	440	445	1.931
6	The fungal threat to global food security	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-405X</td></tr><tr></tr></table>	-0.6573	0.2799	5	83	461	440	2.988
7	Genetic engineering of crops: a ray of hope for enhanced food security.	<table><tr><td>Journal:</td><td>COMPUTERS & OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0305-0548</td></tr><tr></tr></table>	0.9035	-0.7444	3	36	254	439	1.147
8	Challenges for food security and safety: a qualitative study in an agriculture supply chain company in Iran	<table><tr><td>Journal:</td><td>ECOLOGICAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0921-8009</td></tr><tr></tr></table>	-0.1947	-0.2346	1	54	116	422	1.549
9	Sharing Malaysian Experience with the Development of Biotechnology-Derived Food Crops	<table><tr><td>Journal:</td><td>JOURNAL OF POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0022-3808</td></tr><tr></tr></table>	-0.7921	-0.3348	1	83	395	415	4.19
10	Improving the politics of biotechnological innovations in food security and other sustainable development goals	<table><tr><td>Journal:</td><td>HEALTH ECONOMICS</td></tr><tr><td>ISSN:</td><td>1057-9230</td></tr><tr></tr></table>	-0.3629	-0.2894	1	34	67	348	1.648
11	Transgenics without Manichaeism.	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS RESEARCH</td></tr><tr><td>ISSN:</td><td>0148-2963</td></tr><tr></tr></table>	0.7323	0.1663	4	90	327	329	0.878
12	Social Capital Contributions to Food Security: A Comprehensive Literature Review	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>0304-4076</td></tr><tr></tr></table>	-0.7123	-0.2889	1	60	172	318	1.99
13	Aquaculture role in global food security with nutritional value: a review	<table><tr><td>Journal:</td><td>JOURNAL OF PUBLIC ECONOMICS</td></tr><tr><td>ISSN:</td><td>0047-2727</td></tr><tr></tr></table>	-0.5807	-0.2332	1	72	241	316	1.403
14	Plant biotechnology for food security and bioeconomy	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>0363-7425</td></tr><tr></tr></table>	0.6694	0.6214	2	82	367	314	4.372
15	A View to the Future: Opportunities and Challenges for Food and Nutrition Sustainability	<table><tr><td>Journal:</td><td>STRATEGIC MANAGEMENT JOURNAL</td></tr><tr><td>ISSN:</td><td>0143-2095</td></tr><tr></tr></table>	0.5721	0.4007	2	90	421	307	2.829
16	A Shift Towards Biotechnology: Social Opinion in the EU	<table><tr><td>Journal:</td><td>ECONOMETRICA</td></tr><tr><td>ISSN:</td><td>0012-9682</td></tr><tr></tr></table>	-0.6915	-0.2828	1	49	170	300	2.972
17	Promoting Ethically Responsible Use of Agricultural Biotechnology	<table><tr><td>Journal:</td><td>WORLD DEVELOPMENT</td></tr><tr><td>ISSN:</td><td>0305-750X</td></tr><tr></tr></table>	-0.2868	-0.056	1	38	86	295	1.565
18	A systematic review protocol for crime trends facilitated by synthetic biology	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH</td></tr><tr><td>ISSN:</td><td>0020-7543</td></tr><tr></tr></table>	1.1282	-0.4138	3	42	186	291	0.56
19	Playing with colours: genetics and regulatory mechanisms for anthocyanin pathway in cereals.	<table><tr><td>Journal:</td><td>QUARTERLY JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0033-5533</td></tr><tr></tr></table>	-0.8	-0.0866	1	83	314	284	3.688
20	Biotech crops: imperative for achieving the millenium development goals and sustainability of agriculture in the climate change era.	<table><tr><td>Journal:</td><td>JOURNAL OF MARKETING</td></tr><tr><td>ISSN:</td><td>0022-2429</td></tr><tr></tr></table>	0.8442	0.1352	4	74	358	283	3.75
21	Agricultural biotechnology: Revealing insights about ethical concerns	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS</td></tr><tr><td>ISSN:</td><td>0925-5273</td></tr><tr></tr></table>	1.0751	-0.3917	3	50	212	274	0.995
22	Biotechnology for Tomorrow’s World: Scenarios to Guide Directions for Future Innovation	<table><tr><td>Journal:</td><td>EXPERT SYSTEMS WITH APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0957-4174</td></tr><tr></tr></table>	1.0338	-0.4754	3	29	95	269	1.177
23	Food Insecurity: Is It a Threat to University Students’ Well-Being and Success?	<table><tr><td>Journal:</td><td>ORGANIZATION SCIENCE</td></tr><tr><td>ISSN:</td><td>1047-7039</td></tr><tr></tr></table>	0.6966	0.5407	2	77	373	269	3.13
24	Position of the American Dietetic Association: Agricultural and Food Biotechnology	<table><tr><td>Journal:</td><td>RESEARCH POLICY</td></tr><tr><td>ISSN:</td><td>0048-7333</td></tr><tr></tr></table>	0.1157	0.2227	2	77	217	257	2.211
25	Food Security—A Commentary: What Is It and Why Is It So Complicated?	<table><tr><td>Journal:</td><td>ORGANIZATION STUDIES</td></tr><tr><td>ISSN:</td><td>0170-8406</td></tr><tr></tr></table>	0.4043	0.5583	2	80	287	256	2.042
26	"Food sovereignty, food security and health equity: a meta-narrative mapping exercise"	<table><tr><td>Journal:</td><td>ECONOMIC JOURNAL</td></tr><tr><td>ISSN:</td><td>0013-0133</td></tr><tr></tr></table>	-0.5698	-0.0464	1	80	199	254	1.548
27	Food defence systems as an answer to food terrorism	<table><tr><td>Journal:</td><td>HARVARD BUSINESS REVIEW</td></tr><tr><td>ISSN:</td><td>0017-8012</td></tr><tr></tr></table>	0.7737	0.4298	2	69	219	240	1.323
28	Trade and commerce in improved crops and food: an essay on food security	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT STUDIES</td></tr><tr><td>ISSN:</td><td>0022-2380</td></tr><tr></tr></table>	0.6289	0.6034	2	67	286	240	1.926
29	The Developing World Benefits from Plant Biotechnology	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMIC STUDIES</td></tr><tr><td>ISSN:</td><td>0034-6527</td></tr><tr></tr></table>	-0.6717	-0.1291	1	87	231	239	2.539
30	Towards Food Security: Current State and Future Prospects of Agrobiotechnology	<table><tr><td>Journal:</td><td>MIS QUARTERLY</td></tr><tr><td>ISSN:</td><td>0276-7783</td></tr><tr></tr></table>	1.1045	0.0766	4	52	229	238	5.826
31	A systematic review of food pantry-based interventions in the USA	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-1996</td></tr><tr></tr></table>	-0.8173	-0.2334	1	53	203	236	1.541
32	The Application of Biotechnology to Nutrition: An Overview	<table><tr><td>Journal:</td><td>EUROPEAN ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0014-2921</td></tr><tr></tr></table>	-0.6948	-0.1014	1	65	161	235	0.994
33	Food Safety Evaluation of Crops Produced through Biotechnology	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC PERSPECTIVES</td></tr><tr><td>ISSN:</td><td>0895-3309</td></tr><tr></tr></table>	-0.3955	-0.0268	1	76	193	230	2.831
34	Africa needs streamlined regulation to support the deployment of GM crops	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMICS AND STATISTICS</td></tr><tr><td>ISSN:</td><td>0034-6535</td></tr><tr></tr></table>	-0.6951	-0.1428	1	76	195	226	1.724
35	Using the rapid alert system for food and feed: potential benefits and problems on data interpretation	<table><tr><td>Journal:</td><td>JOURNAL OF HEALTH ECONOMICS</td></tr><tr><td>ISSN:</td><td>0167-6296</td></tr><tr></tr></table>	-0.5534	-0.252	1	35	96	220	1.521
36	Genetically modified organisms and food security in Southern Africa: conundrum and discourse	<table><tr><td>Journal:</td><td>MARKETING SCIENCE</td></tr><tr><td>ISSN:</td><td>0732-2399</td></tr><tr></tr></table>	0.5505	-0.0025	4	47	163	218	3.964
37	"Biotechnology-Derived Nutritious Foods for Developing Countries: Needs, Opportunities, and Barriers: Discussion Summary"	<table><tr><td>Journal:</td><td>DECISION SUPPORT SYSTEMS</td></tr><tr><td>ISSN:</td><td>0167-9236</td></tr><tr></tr></table>	1.1277	-0.2527	3	31	114	216	1.119
38	Exploring the impact of the 2008 global food crisis on food security among vulnerable households in rural South Africa	<table><tr><td>Journal:</td><td>JOURNAL OF CONSUMER RESEARCH</td></tr><tr><td>ISSN:</td><td>0093-5301</td></tr><tr></tr></table>	0.5147	0.0276	4	35	118	215	1.738
39	Improving Food Safety Culture in Nigeria: A Review of Practical Issues	<table><tr><td>Journal:</td><td>JOURNAL OF MONETARY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-3932</td></tr><tr></tr></table>	-0.91	-0.2368	1	56	254	203	1.478
