,IFTA 3 QUARTER 2021,
STATE,TOTAL MILES,TOTAL GALLONS
AL,5187,629
AZ,29,0
AR,6747,1033
CA,0,0
CO,870,0
CT,1689,272
DE,337,0
FL,5396,1304
GA,17605,2722
IA,11852,1702
ID,0,0
IL,53719,7955
IN,73466,13667
KS,1458,0
KY,36464,7631
LA,2904,313
MA,1184,245
MD,5419,1298
ME,0,0
MI,14508,2565
MN,3022,602
MO,11368,1775
MS,3700,598
MT,0,0
NC,8574,1288
ND,19,0
NE,2012,565
NH,132,0
NJ,1872,298
NM,72,0
NV,98,142
NY,10091,937
OH,68071,12225
OK,1337,262
PA,38654,4599
RI,205,0
SC,8116,1524
SD,104,141
TN,23158,3462
TX,4504,1156
UT,542,95
VA,8919,2065
VT,88,0
WI,20035,3226
WV,12659,1875
WY,456,0
TOTAL,466642,78171
