speed,vehicle,city,tax af
100,Taxi,CHICAGO,0
60,Taxi,CHICAGO,0
80,Taxi,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Medicar,CHICAGO,0
40,Charter Sightseeing,CHICAGO,0
120,Taxi,CHICAGO,NOVA TAXI
80,Medicar,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Charter Sightseeing,CHICAGO,0
40,Livery,CHICAGO,0
100,Taxi,CHICAGO,POLO5C TAXI CABCORP
60,Charter Sightseeing,CHICAGO,0
80,Medicar,CHICAGO,0
65,Taxi,CHICAGO,Chicago Carriage Cab
80,Taxi,CHICAGO,DIS-AFFILIATED
40,Livery,CHICAGO,0
120,Taxi,CHICAGO,DIS-AFFILIATED
60,Livery,CHICAGO,0
80,Taxi,CHICAGO,TAXI TOWN AFFILIA
65,Charter Sightseeing,CHICAGO,0
80,Taxi,CHICAGO,DIS-AFFILIATED
40,Taxi,CHICAGO,Top Cab Association
120,Taxi,CHICAGO,City Service Taxi Association
80,Livery,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Medicar,CHICAGO,0
40,Charter Sightseeing,CHICAGO,0
100,Taxi,CHICAGO,City Service Taxi Association
60,Taxi,CHICAGO,Flash Cab Co
100,Charter Sightseeing,CHICAGO,0
60,Ambulance,ELMHURST,0
80,Medicar,TINLEY PARK,0
65,Charter Sightseeing,CHICAGO,0
80,Taxi,CHICAGO,Choice Taxi Association Inc
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Ambulance,ELMHURST,0
80,Livery,CHICAGO,0
65,Ambulance,ELMHURST,0
80,Taxi,CHICAGO,Flash Cab Co
40,Taxi,CHICAGO,NORTHSTAR AFFILIATION
100,Charter Sightseeing,CHIICAGO,0
60,Charter Sightseeing,CHICAGO,0
80,Ambulance,ELMHURST,0
65,Taxi,CHICAGO,NORTHSTAR AFFILIATION
80,Livery,CHICAGO,0
40,Taxi,CHICAGO,Flash Cab Co
120,Charter Sightseeing,CHICAGO,0
60,Taxi,CHICAGO,DIS-AFFILIATED
80,Taxi,CHICAGO,Flash Cab Co
65,Taxi,CHICAGO,DIS-AFFILIATED
80,Taxi,CHICAGO,Blue Ribbon Assn Inc
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Taxi,CHICAGO,POLO5C TAXI CABCORP
80,Charter Sightseeing,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Livery,CHICAGO,0
65,Taxi,CHICAGO,Sun Taxi Association Inc
80,Charter Sightseeing,CHICAGO,0
40,Charter Sightseeing,CHICAGO,0
120,Taxi,CHICAGO,DIS-AFFILIATED
80,Livery,CHICAGO,0
65,Ambulance,ELMHURST,0
80,Ambulance,CHICAGO,0
40,Livery,CHICAGO,0
100,Taxi,CHICAGO,0
60,Medicar,CHICAGO,0
80,Taxi,CHICAGO,TAXI TOWN AFFILIA
65,Medicar,CHICAGO,0
80,Taxi,CHICAGO,Sun Taxi Association Inc
40,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
120,Medicar,CHICAGO,0
60,Taxi,CHICAGO,DIS-AFFILIATED
80,Medicar,ELMHURST,0
65,Ambulance,ELMHURST,0
80,Taxi,CHICAGO,City Service Taxi Association
40,Taxi,CHICAGO,24 Seven Taxi Affiliaton
120,Pedicab,CHICAGO,0
80,Medicar,CHICAGO,0
65,Livery,CHICAGO,0
80,Taxi,CHICAGO,Independent1
40,Taxi,CHICAGO,City Service Taxi Association
100,Taxi,CHICAGO,Flash Cab Co
60,Taxi,CHICAGO,Flash Cab Co
100,Livery,CHICAGO,0
60,Taxi,CHICAGO,Sun Taxi Association Inc
80,Taxi,CHICAGO,Choice Taxi Association Inc
65,Livery,CHICAGO,0
80,Livery,CHICAGO,0
40,Medicar,CHICAGO,0
120,Livery,CHICAGO,0
80,Pedicab,CHICAGO,0
65,Medicar,CHICAGO,0
80,Livery,CHICAGO,0
40,Livery,CHICAGO,0
100,Taxi,CHICAGO,DIS-AFFILIATED
60,Livery,CHICAGO,0
80,Taxi,CHICAGO,Sun Taxi Association Inc
65,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
80,Taxi,CHICAGO,24 Seven Taxi Affiliaton
40,Taxi,CHICAGO,Independent1
120,Medicar,CHICAGO,0
60,Taxi,CHICAGO,Chicago Carriage Cab
80,Taxi,CHICAGO,Flash Cab Co
65,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
80,Taxi,CHICAGO,Flash Cab Co
40,Livery,CHICAGO,0
120,Ambulance,ELMHURST,0
80,Livery,CHICAGO,0
65,Ambulance,ELMHURST,0
80,Taxi,CHICAGO,Independent2
100,Livery,CHICAGO,0
60,Taxi,CHICAGO,Peace Taxi Assoc Inc
80,Livery,CHICAGO,0
65,Medicar,CHICAGO,0
80,Livery,CHICAGO,0
40,Taxi,CHICAGO,City Service Taxi Association
120,Taxi,CHICAGO,DIS-AFFILIATED
80,Taxi,CHICAGO,NORTHSTAR AFFILIATION
65,Ambulance,TINLEY PARK,0
80,Taxi,CHICAGO,DIS-AFFILIATED
40,Livery,CHICAGO,0
100,Livery,CHICAGO,0
60,Taxi,CHICAGO,TAXI TOWN AFFILIA
80,Horse Drawn Carriage,CHICAGO,0
65,Medicar,ELMHURST,0
80,Horse Drawn Carriage,CHICAGO,0
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Charter Sightseeing,CHICAGO,0
60,Ambulance,ELMHURST,0
80,Medicar,ELMHURST,0
65,Medicar,ELMHURST,0
80,Ambulance,SKOKIE,0
40,Taxi,CHICAGO,City Service Taxi Association
120,Taxi,CHICAGO,DIS-AFFILIATED
80,Taxi,CHICAGO,DIS-AFFILIATED
65,Medicar,SKOKIE,0
80,Ambulance,TINLEY PARK,0
40,Livery,CHICAGO,0
100,Ambulance,CHICAGO,0
60,Taxi,CHICAGO,NORTHSTAR AFFILIATION
100,Livery,CHICAGO,0
60,Livery,CHICAGO,0
80,Ambulance,FRANKFORT,0
65,Charter Sightseeing,CHICAGO,0
80,Medicar,CHICAGO,0
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Taxi,CHICAGO,DIS-AFFILIATED
80,Taxi,CHICAGO,Top Cab Association
65,Ambulance,TINLEY PARK,0
80,Livery,CHICAGO,0
40,Taxi,CHICAGO,TAXI TOWN AFFILIA
100,Taxi,CHICAGO,Sun Taxi Association Inc
60,Taxi,CHICAGO,DIS-AFFILIATED
80,Livery,CHICAGO,0
65,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
80,Medicar,ELMHURST,0
40,Taxi,CHICAGO,Yellow Cab Association
120,Taxi,CHICAGO,Flash Cab Co
60,Livery,CHICAGO,0
80,Taxi,CHICAGO,DIS-AFFILIATED
65,Medicar,CHICAGO,0
80,Charter Sightseeing,CHICAGO,0
40,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
120,Taxi,CHICAGO,Choice Taxi Association Inc
80,Taxi,CHICAGO,Sun Taxi Association Inc
65,Medicar,ELMHURST,0
80,Ambulance,TINLEY PARK,0
65,Ambulance,TINLEY PARK,0
80,Ambulance,TINLEY PARK,0
40,Livery,CHICAGO,0
120,Taxi,CHICAGO,Globe Taxi Association Inc
80,Charter Sightseeing,CHICAGO,0
65,Medicar,ELMHURST,0
80,Ambulance,ORLAND PARK,0
40,Livery,CHICAGO,0
100,Livery,CHICAGO,0
60,Medicar,ELMHURST,0
80,Taxi,CHICAGO,Top Cab Association
65,Taxi,CHICAGO,Flash Cab Co
80,Livery,CHICAGO,0
40,Taxi,CHICAGO,Flash Cab Co
120,Taxi,CHICAGO,Ace Cab Association Inc
60,Taxi,CHICAGO,DIS-AFFILIATED
80,Ambulance,TINLEY PARK,0
65,Taxi,CHICAGO,Independent1
80,Taxi,CHICAGO,DIS-AFFILIATED
40,Medicar,ELMHURST,0
120,Taxi,CHICAGO,Flash Cab Co
80,Taxi,CHICAGO,5 Star Taxi Association Inc
65,Livery,CHICAGO,0
80,Livery,CHICAGO,0
40,Taxi,CHICAGO,Choice Taxi Association Inc
100,Taxi,CHICAGO,Globe Taxi Association Inc
60,Taxi,CHICAGO,TAXI TOWN AFFILIA
100,Taxi,CHICAGO,City Service Taxi Association
60,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
80,Ambulance,SKOKIE,0
65,Taxi,CHICAGO,Koam Taxi Association
80,Medicar,CHICAGO,0
40,Ambulance,ELMHURST,0
120,Medicar,CHICAGO,0
80,Taxi,CHICAGO,Independent1
65,Taxi,CHICAGO,Choice Taxi Association Inc
80,Ambulance,TINLEY PARK,0
40,Livery,CHICAGO,0
100,Ambulance,TINLEY PARK,0
60,Medicar,ELMHURST,0
80,Livery,CHICAGO,0
65,Taxi,CHICAGO,Sun Taxi Association Inc
80,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Taxi,CHICAGO,City Service Taxi Association
60,Taxi,CHICAGO,DIS-AFFILIATED
80,Charter Sightseeing,CHICAGO,0
65,Livery,CHICAGO,0
80,Medicar,CHICAGO,0
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Taxi,CHICAGO,Flash Cab Co
80,Taxi,CHICAGO,Flash Cab Co
65,Taxi,CHICAGO,Independent1
80,Charter Sightseeing,CHICAGO,0
100,Taxi,CHICAGO,Sun Taxi Association Inc
60,Taxi,CHICAGO,City Service Taxi Association
80,Charter Sightseeing,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Taxi,CHICAGO,Choice Taxi Association Inc
40,Livery,CHICAGO,0
120,Livery,CHICAGO,0
80,Taxi,CHICAGO,DIS-AFFILIATED
65,Ambulance,CHICAGO,0
80,Taxi,CHICAGO,Chicago Carriage Cab
40,Medicar,CHICAGO,0
100,Ambulance,ELMHURST,0
60,Taxi,CHICAGO,Peace Taxi Assoc Inc
80,Ambulance,TINLEY PARK,0
65,Livery,CHICAGO,0
80,Ambulance,CHICAGO,0
40,Taxi,CHICAGO,DIS-AFFILIATED
120,Ambulance,SKOKIE,0
60,Taxi,CHICAGO,Chicago Carriage Cab
80,Livery,CHICAGO,0
65,Livery,CHICAGO,0
80,Livery,CHICAGO,0
40,Charter Sightseeing,CHICAGO,0
120,Livery,CHICAGO,0
80,Taxi,CHICAGO,DIS-AFFILIATED
65,Charter Sightseeing,CHICAGO,0
80,Pedicab,CHICAGO,0
40,Livery,CHICAGO,0
100,Livery,CHICAGO,0
60,Medicar,CHICAGO,0
100,Livery,CHICAGO,0
60,Taxi,CHICAGO,Sun Taxi Association Inc
80,Taxi,CHICAGO,Chicago Carriage Cab
65,Taxi,CHICAGO,NORTHSTAR AFFILIATION
80,Ambulance,CHICAGO,0
40,Taxi,CHICAGO,Flash Cab Co
120,Livery,CHICAGO,0
80,Charter Sightseeing,CHICAGO,0
65,Livery,CHICAGO,0
80,Taxi,CHICAGO,DIS-AFFILIATED
40,Taxi,CHICAGO,NORTHSTAR AFFILIATION
100,Charter Sightseeing,CHICAGO,0
60,Taxi,CHICAGO,Flash Cab Co
80,Livery,CHICAGO,0
65,Charter Sightseeing,CHICAGO,0
80,Taxi,CHICAGO,Chicago Carriage Cab
40,Livery,CHICAGO,0
120,Ambulance,CHICAGO,0
60,Ambulance,CHICAGO,0
80,Taxi,CHICAGO,0
65,Taxi,CHICAGO,Sun Taxi Association Inc
80,Taxi,CHICAGO,Royal 3 Ccc Chicago Taxi Assoc
40,Livery,CHICAGO,0
120,Taxi,CHICAGO,Independent1
80,Charter Sightseeing,CHICAGO,0
65,Taxi,CHICAGO,Koam Taxi Association
80,Medicar,CHICAGO,0
65,Taxi,CHICAGO,DIS-AFFILIATED
80,Livery,CHICAGO,0
40,Livery,CHICAGO,0
120,Livery,CHICAGO,0
80,Livery,CHICAGO,0
65,Livery,CHICAGO,0
80,Medicar,CHICAGO,0
40,Livery,CHICAGO,0
100,Livery,CHICAGO,0
60,Taxi,CHICAGO,Flash Cab Co
80,Taxi,CHICAGO,Yellow Cab Association
65,Taxi,CHICAGO,TAXI TOWN AFFILIA
80,Charter Sightseeing,SCHILLER PARK,0
40,Taxi,CHICAGO,Independent1
120,Livery,CHICAGO,0
60,Livery,CHICAGO,0
80,Taxi,CHICAGO,TAXI TOWN AFFILIA
65,Taxi,CHICAGO,24 Seven Taxi Affiliaton
80,Livery,CHICAGO,0
40,Livery,CHICAGO,0
120,Ambulance,SKOKIE,0
